node,num_actors,actors,degree,betweenness
REMOTE SYSTEM DISCOVERY,2,AdFind;APT29,6,3.506161646625149e-05
INDICATOR REMOVAL ON HOST,2,APT29;CARBANAK,5,3.093274302851972e-06
DISK WIPE,2,APT29;CARBANAK,5,1.5359809472175077e-05
PROCESS DISCOVERY,2,APT29;CARBANAK,5,3.7304828590746912e-06
HIDE ARTIFACTS,2,APT29;CARBANAK,4,1.4899753549367415e-06
SYSTEM NETWORK CONFIGURATION DISCOVERY,2,APT29;ADFIND,4,7.003884877734953e-06
COBALT STRIKE,1,APT29,18,0.0
VALID ACCOUNTS,1,APT29,17,8.838209791965926e-05
OS CREDENTIAL DUMPING,1,APT29,15,6.046927005491348e-05
PINCHDUKE,1,APT29,10,0.0
ONIONDUKE,1,APT29,10,0.0
PHISHING,1,APT29,9,3.4604535625837055e-05
SEADUKE,1,APT29,9,0.0
WEB SERVICE,1,APT29,9,2.0133231142987426e-05
GEMINIDUKE,1,APT29,8,0.0
MIMIKATZ,1,APT29,8,0.0
REMOTE ACCESS TOOLS,1,CARBANAK,8,4.879605493655048e-07
SCHEDULED TASK/JOB,1,APT29,7,1.6852858259336228e-05
CLOUDDUKE,1,APT29,7,0.0
EXFILTRATION OVER COMMAND AND CONTROL CHANNEL,1,APT29,7,2.0275051278844684e-05
ARCHIVE COLLECTED DATA,1,APT29,7,3.983347651278786e-05
HIJACK EXECUTION FLOW,1,APT29,6,7.112655693111681e-06
MINIDUKE,1,APT29,5,0.0
EXPLOITATION FOR CLIENT EXECUTION,1,APT29,5,2.423167728099155e-06
CREDENTIALS FROM PASSWORD STORES,1,APT29,5,7.333270756089548e-06
EXFILTRATION OVER ALTERNATIVE PROTOCOL,1,APT29,5,5.511340133458605e-06
DATA STAGED,1,APT29,5,1.7387291241974637e-05
VIRTUALIZATION/SANDBOX EVASION,1,APT29,5,8.026231372863088e-06
PSEXEC,1,APT29,5,0.0
METERPETER,1,APT29,5,0.0
EVENT TRIGGERED EXECUTION,1,APT29,5,5.865645400288724e-06
BOOT OR LOGON AUTOSTART EXECUTION,1,APT29,5,2.7289484175973812e-05
SHARED MODULES,1,APT29,5,7.333270756089548e-06
DATA DESTRUCTION,1,CARBANAK,5,8.633148181082011e-07
AGENT ORM,1,SCREEN CAPTURE,5,0.0
DOMAIN TRUST DISCOVERY,1,ADFIND,5,5.906890860740322e-07
SYSTEM NETWORK CONFIGURATION,1,ADFIND,5,5.906890860740322e-07
SYSTEM NETWORK DISCOVERY,1,ADFIND,5,5.906890860740322e-07
EXPLOIT PUBLIC-FACING APPLICATION,1,APT29,4,4.8165772560286715e-06
EXPOLITATION FOR CLIENT EXECUTION,1,APT29,4,2.423167728099155e-06
COSMU/MINIDUKE,1,APT29,4,0.0
OBTAIN CAPABILITIES,1,APT29,4,6.920907125167411e-06
WINDOWS MANAGEMENT INSTRUMENTATION,1,APT29,4,5.4627553168551125e-06
INDICATOR REMOVAL,1,APT29,4,2.346853176594136e-05
COMPROMISE INFRASTRUCTURE,1,APT29,4,2.7496576956746202e-05
SYSTEM OWNER/USER DISCOVERY,1,APT29,4,2.9956375079468773e-06
STEAL OR FORGE KERBEROS TICKETS,1,APT29,4,1.8705154392344353e-06
EXFILTRATION OVER WEB SERVICE,1,APT29,4,8.818144213533765e-06
DEOBFUSCATE/DECODE FILES OR INFORMATION,1,APT29,4,2.2693567879510895e-06
POSHSPY,1,APT29,4,0.0
NATIVE API,1,APT29,4,1.2944817073792853e-05
Mimikatz,1,APT29,4,0.0
REFLECTIVE CODE LOADING,1,APT29,4,1.0223464951281327e-06
PROTOCOL TUNNELING,1,CARBANAK,4,4.879605493655048e-07
ACCESS TOKEN MANIPULATION,1,CARBANAK,4,1.3669151286713183e-06
REGISTRY RUN KEYS / STARTUP FOLDER,1,CARBANAK,4,1.6367010093301308e-06
CLIPBOARD DATA,1,APT29,3,1.4028865794258266e-06
UNSECURED CREDENTIALS,1,APT29,3,2.890796587907764e-06
QUERY REGISTRY,1,APT29,3,1.3923385600316474e-06
SYSTEM BINARY PROXY EXECUTION,1,APT29,3,1.0223464951281327e-06
DATA ENCRYPTED,1,APT29,3,3.669087976959854e-06
HAMMERDUKE,1,APT29,3,0.0
ENDPOINT DENIAL OF SERVICE,1,APT29,3,2.8057731588516532e-06
NETWORK DENIAL OF SERVICE,1,APT29,3,2.8057731588516532e-06
DATA FROM LOCAL,1,APT29,3,1.1223092635406613e-05
SYSTEM INFORMATION DOSCOVERY,1,APT29,3,8.016494739576152e-07
REMOTE FILE COPY,1,APT29,3,1.0202811486733285e-06
EMAIL COLLECTION,1,APT29,3,2.423167728099155e-06
DYNAMIC RESOLUTION,1,APT29,3,1.5082416980388334e-06
POWERDUKE,1,APT29,3,0.0
MODIFY REGISTRY,1,APT29,3,1.0223464951281327e-06
ACQUIRE INFRASTRUCTURE,1,APT29,3,5.050391685932976e-06
NETWORK CONFIGURATION DISCOVERY,1,APT29,3,8.016494739576152e-07
AUTOMATED EXFILTRATION,1,APT29,3,3.2065978958304608e-06
DATA OBFUSCATION,1,APT29,3,1.5082416980388334e-06
DATA TRANSFER SIZE LIMITS,1,APT29,3,3.2065978958304608e-06
CREATE ACCOUNT,1,CARBANAK,3,7.014432897129133e-07
ACCOUNT ACCESS REMOVAL,1,CARBANAK,3,8.633148181082011e-07
APPLICTION LAYER PROTOCOL,1,CARBANAK,3,4.879605493655048e-07
DATA MANIPULATION,1,CARBANAK,3,8.633148181082011e-07
DEVELOP CAPABILITIES,1,CARBANAK,3,2.244618527081323e-06
DISABLING SECURITY TOOLS,1,CARBANAK,3,4.3165740905410054e-07
CREATE OR MODIFY SYSTEM SERVICE,1,CARBANAK,3,7.014432897129133e-07
AVEMARIA,1,INPUT CAPTURE,3,0.0
COMSICDUKE,1,APT29,2,0.0
SIGNED BINARY PROXY EXECUTION,1,APT29,2,5.906890860740322e-07
DRIVE-BY COMPROMISE,1,APT29,2,2.244618527081323e-06
AdobeARM,1,APT29,2,0.0
ATI-Agent,1,APT29,2,0.0
MiniDionis,1,APT29,2,0.0
SOFTWARE DISCOVERY,1,APT29,2,8.016494739576152e-07
EXECUTION GUARDRAILS,1,APT29,2,5.906890860740322e-07
MimiKatz,1,APT29,2,0.0
COZY,1,APT29,2,0.0
FALLBACK CHANNELS,1,APT29,2,1.0202811486733285e-06
COMPROMISE ACCOUNTS,1,APT29,2,2.8057731588516532e-06
OBFUSCATED FILES OF INFORMATION,1,APT29,2,5.906890860740322e-07
SYSTEM TIME DISCOVERY,1,APT29,2,8.016494739576152e-07
UPX,1,APT29,2,0.0
PYINSTALLER,1,APT29,2,0.0
MALICIOUS FILE,1,APT29,2,1.0202811486733285e-06
DEBUGGER EVASION,1,APT29,2,5.906890860740322e-07
ONION DUKE,1,APT29,1,0.0
COZYBEAR,1,APT29,1,0.0
COBALTSTRIKE,1,APT29,1,0.0
Cobalt Strike,1,APT29,1,0.0
CobaltStrike,1,APT29,1,0.0
METASPLOIT,0,,10,0.0
BOOSTWRITE,0,,10,0.0
INITIAL ACCESS,0,,7,0.0
SERVER SOFTWARE COMPONENT,0,,7,7.014432897129133e-07
TRICKBOT,0,,7,0.0
RESOURCE DEVELOPMENT,0,,6,0.0
SOFTWARE DEPLOYMENT TOOLS,0,,6,2.5719587289473486e-06
INHIBIT SYSTEM RECOVERY,0,,6,8.633148181082011e-07
BATELEUR,0,,5,0.0
METERPRETER,0,,5,0.0
MAZE,0,,5,0.0
TONEDEAF,0,,5,0.0
JS FLASH,0,,4,0.0
INGRESS TOOL TRASNFER,0,,4,4.879605493655048e-07
AMMYY,0,,4,0.0
REMOTE ACCESS TOOL,0,,4,2.3584759885999404e-06
DATA ENCRYPTED FOR IMPACT,0,,4,1.8835959667815296e-06
PRIVILEGE ESCLATION,0,,4,0.0
EXPLOITATION FOR PRIVILEGE ESCALATION,0,,4,3.7410308784688707e-06
PsExec,0,,4,0.0
MODIFY AUTHENTICATION PROCESS,0,,4,2.1533818474403423e-06
KillDisk,0,,4,0.0
RYUK,0,,4,0.0
EXTERNAL REMOTE SERVICES,0,,3,7.014432897129133e-07
VB FLASH,0,,3,0.0
INGRESS TOOLS TRANSFER,0,,3,4.879605493655048e-07
DEVELOP CAPABITILITES,0,,3,2.244618527081323e-06
BOTT OR LOGON AUTOSTART EXECUTION,0,,3,1.6367010093301308e-06
NETWORK SERVICE SCANNING,0,,3,5.906890860740322e-07
PROCDUMP,0,,3,0.0
PROXY,0,,3,4.879605493655048e-07
GATHER VICTIM IDENTITY INFORMATION,0,,3,1.1223092635406613e-05
More_eggs,0,,3,0.0
IMPAIR DEFENSES,0,,3,4.3165740905410054e-07
MORE_EGGS,0,,3,0.0
REMOTE ACCESSS TOOLS,0,,3,4.879605493655048e-07
RDFSNIFFER,0,,3,0.0
EVENT TRIGGER EXECUTION,0,,3,1.6367010093301308e-06
ASTRA,0,,3,0.0
NETWORK SERVICE DISCOVERY,0,,3,5.906890860740322e-07
SYSTEM SHUTDOWN/REBOOT,0,,3,8.633148181082011e-07
CREDENTIAL FROM PASSWORD STORES,0,,3,5.6115463177033065e-06
INITAL ACCESS,0,,2,0.0
EXPLOITATION OF REMOTE SERVICES,0,,2,1.8705154392344353e-06
NMAP,0,,2,0.0
FREEDRP,0,,2,0.0
NCAT,0,,2,0.0
NPING,0,,2,0.0
IMPAIR DEFENSE,0,,2,4.3165740905410054e-07
APPLICAITON LAYER PROTOCOL,0,,2,4.879605493655048e-07
OBFUSCATE FILES OR INFORMATION,0,,2,4.3165740905410054e-07
VNC,0,,2,0.0
PROCESS DISCOVERY DESCRIPTION,0,,2,5.906890860740322e-07
IMPERSONATION,0,,2,4.3165740905410054e-07
BLOODHOUND,0,,2,0.0
PINGCASTLE,0,,2,0.0
ADVANCED IP SCANNER,0,,2,0.0
POWERSPLOIT/POWEVIEW,0,,2,0.0
7-ZIP,0,,2,0.0
NGROK,0,,2,0.0
WINSCP,0,,2,0.0
WMIC,0,,2,0.0
Taurus Builder,0,,2,0.0
VenomKit,0,,2,0.0
7-Zip,0,,2,0.0
7-zip,0,,2,0.0
REMOTE SERVICE,0,,2,1.8705154392344353e-06
HARDTACK,0,,2,0.0
SHIPBREAD,0,,2,0.0
CREDENTIALS DUMPING,0,,2,1.0202811486733285e-06
Metasploit's PsExec NTDSGRAB,0,,2,0.0
BRUTEFORCE,0,,2,1.0202811486733285e-06
osql.exe,0,,2,0.0
RemCom,0,,2,0.0
Plink,0,,2,0.0
Framework POS,0,,2,0.0
REMOTE EXECUTION,0,,2,4.879605493655048e-07
PISHING,0,,2,1.8705154392344353e-06
JSPPY,0,,2,0.0
CMDSQL,0,,2,0.0
FLAWEDAMMYY,0,,2,0.0
DATA FROM INFORMATION REPOSITORIES,0,,2,1.0202811486733285e-06
OSQL,0,,2,0.0
WINDOWS CREDENTIALS EDITOR,0,,2,0.0
NON-APPLICATION LAYER PROTOCOL,0,,2,4.879605493655048e-07
FALLBACK CHANNEL,0,,2,4.879605493655048e-07
GRIFFON,0,,2,0.0
BROWSER SESSION HIJACKING,0,,2,1.0202811486733285e-06
DNSBOT,0,,2,0.0
OVFUSCATED FILES OR INFORMATION,0,,2,4.3165740905410054e-07
SIGNED SCRIPT PROXY EXECUTION,0,,2,4.3165740905410054e-07
OFUSCATED FILES OR INFORMATION,0,,2,4.3165740905410054e-07
TWO-FACE,0,,2,0.0
RUNNINGBEE,0,,2,0.0
PUTTY,0,,2,0.0
RGDOOR,0,,2,0.0
Twoface,0,,2,0.0
Pickpocket,0,,2,0.0
TRAFFIC SIGNALING,0,,2,4.879605493655048e-07
SYSTEM INFOMRATION DISCOVERY,0,,2,5.906890860740322e-07
EXPOLOITATION FOR CLIENT EXECUTION,0,,2,7.014432897129133e-07
EXPLOITATION FOR DEFENSE EVASION,0,,2,4.3165740905410054e-07
SYSTEM SERVICE DISCOVERY,0,,2,5.906890860740322e-07
OS CREDENTAIL DUMPING,0,,2,1.0202811486733285e-06
BRUTE FORCE,0,,2,1.0202811486733285e-06
EXPLOIT PUBLIC-FACING APPLICATIONS,0,,2,1.8705154392344353e-06
APPLICATION LAYER PROTCOL,0,,2,4.879605493655048e-07
FIRMWARE CORRUPTION,0,,2,8.633148181082011e-07
COMMAND AND SCRIPT INTERPRETER,0,,2,7.014432897129133e-07
SERVICE STOP,0,,2,8.633148181082011e-07
MANIPULATION OF CONTROL,0,,2,8.633148181082011e-07
DENIAL OF SERVICE,0,,2,1.1223092635406613e-05
DEFACEMENT,0,,2,8.633148181082011e-07
NotPetya,0,,2,0.0
Windows API,0,,2,0.0
WMI,0,,2,0.0
Password Stealers,0,,2,0.0
cmd.exe,0,,2,0.0
vssadmin,0,,2,0.0
wbadmin,0,,2,0.0
bcdedit,0,,2,0.0
SERVICE STOPPING,0,,2,8.633148181082011e-07
VPN,0,,2,0.0
Remote Administration Tools,0,,2,0.0
ICS Software,0,,2,0.0
EMOTET,0,,2,0.0
CREDENTIALS ACCESS,0,,2,0.0
COMMAND AND SCRIPTING,0,,2,7.014432897129133e-07
SERVICE EXECUTION,0,,2,7.014432897129133e-07
EXECUTION THROUGH API,0,,2,7.014432897129133e-07
BOOT OR LOGON AUOSTART EXECUTION,0,,2,7.014432897129133e-07
LAZAGNE,0,,2,0.0
COLLECITON,0,,1,0.0
DEFENDE EVASION,0,,1,0.0
RESOURCE DEVELOPMENTE,0,,1,0.0
COMMAND AND CONTROLE,0,,1,0.0
PERSITENCE,0,,1,0.0
INTIAL ACCESS,0,,1,0.0
COBAL STRIKE,0,,1,0.0
ETERNAL BLUE,0,,1,0.0
EPRIVILEGE ESCALATION,0,,1,0.0
FRAMEWORKPOS,0,,1,0.0
SYSTEM NETWORK CONNECTIONS DISCOVERY,0,,1,0.0
COMMUNICATION AND CONTROL,0,,1,0.0
PERISTENCE,0,,1,0.0
BlackEnergy,0,,1,0.0
CRASHOVERRIDE/Industroyer,0,,1,0.0
INHIBIT REPONSE FUNCTION,0,,1,0.0
Industroyer,0,,1,0.0
Olympic Destroyer,0,,1,0.0
